20061,29572440,28386088
20062,27199736,29621790
20063,32093194,29508623
20064,29232940,29556930
20065,27344657,30100400
20066,33723604,30990886
20067,31904399,33134952
20068,33776854,32378029
20069,31452835,32840998
200610,33293305,30849836
200611,27803369,31206709
200612,32523455,31679664
20071,34712168,32961422
20072,31648644,34481458
20073,37083564,33794018
20074,32649846,35171845
20075,35782126,34308923
20076,34494798,35344431
20077,35756370,35655487
20078,36715294,35158362
20079,33003422,35774714
200710,37605428,35278211
200711,35225784,36539248
200712,36786533,36577464
20081,37720077,36551631
20082,35148284,36696291
20083,37220512,36473449
20084,37051551,37268565
20085,37533633,37213043
20086,37053947,38189623
20087,39981290,38118465
20088,37320158,38617406
20089,38550770,38831845
200810,40624607,38313643
200811,35765554,39812126
200812,43046219,39026503
20091,38267738,39437131
20092,36997437,38977256
20093,41666593,39729461
20094,40524354,40728440
20095,39994375,41031222
20096,42574938,41669715
20097,42439834,41401858
20098,39190802,41048731
20099,41515559,41104816
200910,42608088,41448787
200911,40222715,42730410
200912,45360428,41521180
20101,38980398,40731102
20102,37852480,40719560
20103,45325802,41872594
20104,42439500,43082637
20105,41482610,42933539
20106,44878509,43315693
20107,43585960,44238907
20108,44252254,43985650
20109,44118736,43975360
201010,43555090,44621222
201011,46189841,45564870
201012,46949681,45946798
20111,44700872,44569825
20112,42058924,45350975
20113,49293130,45008322
20114,43672914,46360111
20115,46114290,46053971
20116,48374710,46163436
20117,44001310,46893080
20118,48303220,46363175
20119,46784995,46918425
201110,45667060,46017425
201111,45600220,46003570
201112,46743430,45753619
20121,44917209,45030472
20122,43430778,44619477
20123,45510445,43849381
20124,42606920,44899984
20125,46582588,44413199
20126,44050089,44925499
20127,44143820,44750583
20128,46057840,43720561
20129,40960025,43772123
201210,44298505,42869053
201211,43348630,43118305
201212,41707780,43053415
20131,44103835,41365745
20132,38285620,40682513
20133,39658084,40088862
20134,42322882,41738896
20135,43235722,41568222
20136,39146064,41835991
20137,43126189,41297380
20138,41619887,40470698
20139,36666020,39911435
201310,41448400,38027203
201311,35967190,38611436
201312,38418718,37425568
20141,37890796,36565589
20142,33387253,36187293
20143,37283830,35875929
20144,36956705,37215836
20145,37406975,37176707
20146,37166442,38626275
20147,41305410,39242652
20148,39256105,40097955
20149,39732350,40183511
201410,41562080,38927386
201411,35487730,39755220
201412,42215850,38851790
